episode,rewards,lengths,successes
596,0.0,21,True
597,-5.0,26,True
598,-26.0,47,True
599,-68.0,80,True
600,-7.0,28,True
601,-100.0,121,True
602,-43.0,64,True
603,0.0,21,True
604,-7.0,19,True
605,12.0,9,True
606,-11.0,32,True
607,14.0,7,True
608,-40.0,61,True
609,-78.0,99,True
610,-38.0,50,True
611,-39.0,51,True
612,-66.0,87,True
613,-69.0,81,True
614,6.0,15,True
615,-83.0,86,True
616,-43.0,55,True
617,-135.0,129,True
618,-73.0,76,True
619,-66.0,78,True
620,-96.0,90,True
621,-111.0,123,True
622,-5.0,26,True
623,-1.0,22,True
624,-56.0,77,True
625,-53.0,65,True
626,-110.0,122,True
627,-8.0,29,True
628,-81.0,84,True
629,13.0,8,True
630,9.0,12,True
631,-56.0,77,True
632,5.0,16,True
633,8.0,13,True
634,-10.0,31,True
635,-99.0,120,True
636,-12.0,24,True
637,-32.0,53,True
638,8.0,13,True
639,-11.0,32,True
640,-9.0,30,True
641,-43.0,64,True
642,-129.0,132,True
643,-165.0,132,True
644,12.0,9,True
645,13.0,8,True
646,-5.0,26,True
647,-3.0,24,True
648,-12.0,33,True
649,-36.0,57,True
650,9.0,12,True
651,-37.0,58,True
652,12.0,9,True
653,-65.0,77,True
654,12.0,9,True
655,-26.0,47,True
656,0.0,21,True
657,-48.0,69,True
658,14.0,7,True
659,13.0,8,True
660,-64.0,67,True
661,14.0,7,True
662,-29.0,41,True
663,-51.0,63,True
664,-2.0,23,True
665,-5.0,26,True
666,-16.0,28,True
667,-36.0,48,True
668,7.0,14,True
669,-25.0,46,True
670,-117.0,120,True
671,-58.0,52,True
672,-25.0,37,True
673,7.0,14,True
674,-26.0,47,True
675,-34.0,55,True
676,-16.0,37,True
677,-63.0,84,True
678,-38.0,59,True
679,11.0,10,True
680,-154.0,139,True
681,5.0,16,True
682,9.0,12,True
683,-28.0,40,True
684,12.0,9,True
685,11.0,10,True
686,15.0,6,True
687,-7.0,28,True
688,-136.0,112,True
689,-81.0,84,True
690,-44.0,56,True
691,-26.0,38,True
692,-86.0,98,True
693,-19.0,40,True
694,-12.0,33,True
695,-68.0,89,True
696,13.0,8,True
697,-78.0,81,True
698,6.0,15,True
699,-21.0,42,True
700,-9.0,21,True
701,5.0,16,True
702,10.0,11,True
703,-23.0,44,True
704,12.0,9,True
705,-20.0,41,True
706,-8.0,20,True
707,14.0,7,True
708,-89.0,92,True
709,-37.0,58,True
710,15.0,6,True
711,-4.0,25,True
712,-59.0,71,True
713,6.0,15,True
714,12.0,9,True
715,-61.0,82,True
716,-49.0,70,True
717,-2.0,14,True
718,-46.0,67,True
719,10.0,11,True
720,-33.0,54,True
721,-75.0,78,True
722,7.0,14,True
723,-65.0,86,True
724,0.0,12,True
725,-9.0,30,True
726,-49.0,61,True
727,-12.0,24,True
728,-22.0,43,True
729,2.0,19,True
730,-13.0,25,True
731,-60.0,63,True
732,-1.0,13,True
733,14.0,7,True
734,12.0,9,True
735,-13.0,34,True
736,-109.0,112,True
737,-6.0,27,True
738,5.0,16,True
739,6.0,15,True
740,7.0,14,True
741,-32.0,53,True
742,-4.0,16,True
743,-29.0,41,True
744,-41.0,62,True
745,10.0,11,True
746,-2.0,23,True
747,-86.0,98,True
748,-61.0,64,True
749,-18.0,39,True
750,-19.0,22,True
751,-23.0,44,True
752,5.0,16,True
753,-3.0,24,True
754,-52.0,73,True
755,-30.0,42,True
756,-5.0,26,True
757,-53.0,65,True
758,-41.0,53,True
759,-9.0,30,True
760,-42.0,63,True
761,13.0,8,True
762,-64.0,58,True
763,10.0,11,True
764,-3.0,24,True
765,-33.0,54,True
766,-8.0,29,True
767,8.0,13,True
768,3.0,18,True
769,4.0,17,True
770,-27.0,39,True
771,-3.0,15,True
772,-42.0,63,True
773,-7.0,28,True
774,-62.0,83,True
775,-8.0,29,True
776,-1.0,22,True
777,-36.0,48,True
778,-55.0,76,True
779,-37.0,58,True
780,-6.0,27,True
781,-45.0,66,True
782,-12.0,33,True
783,-23.0,44,True
784,2.0,19,True
785,10.0,11,True
786,-22.0,43,True
787,-23.0,35,True
788,-80.0,101,True
789,-71.0,83,True
790,-29.0,50,True
791,-21.0,42,True
792,14.0,7,True
793,-29.0,41,True
794,11.0,10,True
795,-3.0,24,True
796,-17.0,38,True
797,3.0,18,True
798,6.0,15,True
799,-36.0,57,True
800,-8.0,29,True
801,9.0,12,True
802,10.0,11,True
803,-16.0,37,True
804,11.0,10,True
805,-6.0,27,True
806,1.0,20,True
807,12.0,9,True
808,0.0,21,True
809,11.0,10,True
810,-11.0,32,True
811,1.0,20,True
812,-46.0,67,True
813,9.0,12,True
814,2.0,19,True
815,-33.0,45,True
816,5.0,16,True
817,-17.0,38,True
818,11.0,10,True
819,-16.0,37,True
820,7.0,14,True
821,-12.0,24,True
822,8.0,13,True
823,12.0,9,True
824,5.0,16,True
825,-30.0,42,True
826,-16.0,28,True
827,2.0,19,True
828,-19.0,40,True
829,8.0,13,True
830,-18.0,39,True
831,-7.0,28,True
832,-20.0,41,True
833,-17.0,38,True
834,-11.0,32,True
835,-21.0,33,True
836,-11.0,32,True
837,-36.0,57,True
838,-33.0,45,True
839,-29.0,50,True
840,1.0,20,True
841,-63.0,84,True
842,8.0,13,True
843,-5.0,26,True
844,-58.0,61,True
845,-65.0,86,True
846,14.0,7,True
847,10.0,11,True
848,-19.0,40,True
849,8.0,13,True
850,-6.0,27,True
851,-15.0,36,True
852,10.0,11,True
853,-15.0,36,True
854,0.0,12,True
855,9.0,12,True
856,3.0,18,True
857,5.0,16,True
858,-21.0,42,True
859,7.0,14,True
860,-1.0,22,True
861,10.0,11,True
862,-27.0,48,True
863,-37.0,58,True
864,-39.0,60,True
865,2.0,19,True
866,-71.0,92,True
867,-29.0,41,True
868,-18.0,39,True
869,12.0,9,True
870,11.0,10,True
871,10.0,11,True
872,-36.0,57,True
873,-8.0,20,True
874,7.0,14,True
